nu_ano_avaliacao,co_uf,co_municipio,tp_dependencia,id_aluno,id_escola,sg_uf,no_municipio,vl_proficiencia_lp,in_alfabetizado,in_presenca_lp,status_alfabetizacao,status_presenca_lp,tp_dependencia_desc,total_alunos,alunos_com_classificacao,media_proficiencia_lp,percentual_alfabetizados,percentual_nao_alfabetizados,total_alunos_ano_anterior,media_proficiencia_ano_anterior,percentual_alfabetizados_ano_anterior,percentual_nao_alfabetizados_ano_anterior,variacao_media_proficiencia,variacao_pontos_percentuais_alfabetizados,variacao_pontos_percentuais_nao_alfabetizados,variacao_total_alunos_percentual,tx_alfabetizacao_escola,vol_alunos_escola,in_alfabetizado_real,in_alfabetizado_pred,score_prob,cluster_risco
2024,17,1721000,3,17003288,60004220.0,TO,Palmas,649.93,0,1,Não Alfabetizado,Presente,Municipal,2964,2964,751.63,57.46,42.54,,,,,,,,,0.2694063926940639,209,0,0,17.85,Alto
2025,35,3523107,3,35296592,60031633.0,SP,Itaquaquecetuba,761.30091,1,1,Alfabetizado,Presente,Municipal,4487,4487,728.28,47.31,52.69,4528.0,748.91,57.44,42.56,-20.63,-10.13,10.13,-0.91,0.35074626865671643,124,1,0,23.0,Alto
2025,14,1400100,3,14001899,60001566.0,RR,Boa Vista,711.6064535,0,1,Não Alfabetizado,Presente,Municipal,6037,6037,751.08,62.4,37.6,,,,,,,,,0.717391304347826,174,0,1,58.53,Medio
2024,27,2702306,3,27008222,60013907.0,AL,Coruripe,770.09,1,1,Alfabetizado,Presente,Municipal,787,787,788.94,92.25,7.75,,,,,,,,,0.6742424242424242,122,1,0,52.22,Medio
2025,43,4322541,3,43028444,60038320.0,RS,Vale Real,784.0220042,1,1,Alfabetizado,Presente,Municipal,37,37,753.77,59.46,40.54,40.0,729.81,35.0,65.0,23.96,24.46,-24.46,-7.5,0.5588235294117647,24,1,0,51.92,Medio
2025,50,5008305,3,50184057,60041150.0,MS,Três Lagoas,771.360208,1,1,Alfabetizado,Presente,Municipal,1735,1735,768.69,80.86,19.14,1634.0,771.24,82.99,17.01,-2.55,-2.13,2.13,6.18,0.7294117647058823,160,1,1,68.0,Medio
2024,41,4103701,3,41071662,60032185.0,PR,Cambé,810.24,1,1,Alfabetizado,Presente,Municipal,1120,1120,761.14,77.05,22.95,,,,,,,,,0.7006369426751592,147,1,1,58.82,Medio
2024,35,3550308,2,35396390,60025749.0,SP,São Paulo,789.6152784,1,1,Alfabetizado,Presente,Estadual,52622,52622,756.06,63.04,36.96,,,,,,,,,0.4588744588744589,221,1,0,33.5,Alto
2025,12,1200401,2,12013351,60000575.0,AC,Rio Branco,743.061617,1,1,Alfabetizado,Presente,Estadual,2875,2875,755.79,70.23,29.77,3090.0,741.7,54.34,45.66,14.09,15.89,-15.89,-6.96,0.4418604651162791,33,1,0,44.91,Alto
2024,15,1500107,3,15000648,60002291.0,PA,Abaetetuba,683.1,0,1,Não Alfabetizado,Presente,Municipal,1270,1270,722.88,36.54,63.46,,,,,,,,,0.4606741573033708,79,0,0,31.11,Alto
2025,27,2706406,3,27023990,60013970.0,AL,Pão de Açúcar,747.1004278,1,1,Alfabetizado,Presente,Municipal,293,293,754.77,69.97,30.03,307.0,741.81,55.05,44.95,12.96,14.92,-14.92,-4.56,0.6444444444444445,80,1,0,53.37,Medio
2024,43,4307906,3,43030492,60037163.0,RS,Farroupilha,728.847693,0,1,Não Alfabetizado,Presente,Municipal,554,554,747.6,56.68,43.32,,,,,,,,,0.5517241379310345,48,0,0,38.68,Alto
2024,29,2905701,3,29035382,60015884.0,BA,Camaçari,682.69,0,1,Não Alfabetizado,Presente,Municipal,2552,2552,726.1,36.56,63.44,,,,,,,,,0.4370860927152318,141,0,0,27.12,Alto
2024,33,3302403,3,33039186,60023336.0,RJ,Macaé,728.11,0,1,Não Alfabetizado,Presente,Municipal,2721,2721,743.55,59.39,40.61,,,,,,,,,0.5163934426229508,112,0,0,35.1,Alto
2024,15,1504703,3,15048295,60002394.0,PA,Moju,737.87,0,1,Não Alfabetizado,Presente,Municipal,769,769,717.17,34.2,65.8,,,,,,,,,0.417910447761194,57,0,0,24.97,Alto
2024,50,5007109,3,50013217,60039762.0,MS,Ribas do Rio Pardo,731.76,0,1,Não Alfabetizado,Presente,Municipal,419,419,727.28,42.72,57.28,,,,,,,,,0.5384615384615384,81,0,0,41.19,Alto
2025,21,2109809,3,21167660,60005035.0,MA,Santa Helena,751.7910268,1,1,Alfabetizado,Presente,Municipal,228,228,758.73,70.18,29.82,200.0,754.95,72.5,27.5,3.78,-2.32,2.32,14.0,0.7156862745098039,92,1,1,61.07,Medio
2024,26,2616407,3,26017063,60012149.0,PE,Vitória de Santo Antão,719.12,0,1,Não Alfabetizado,Presente,Municipal,1004,1004,735.33,50.8,49.2,,,,,,,,,0.4722222222222222,62,0,0,30.59,Alto
2024,42,4211801,3,42046610,60035841.0,SC,Ouro,745.72,1,1,Alfabetizado,Presente,Municipal,59,59,774.34,83.05,16.95,,,,,,,,,0.5918367346938775,39,1,0,47.17,Medio
2024,35,3538709,3,35135396,60027221.0,SP,Piracicaba,720.6426421,0,1,Não Alfabetizado,Presente,Municipal,3066,3066,746.08,55.28,44.72,,,,,,,,,0.6461538461538462,120,0,0,48.69,Medio
2025,23,2305357,3,23148615,60009012.0,CE,Icapuí,677.2750862,0,1,Não Alfabetizado,Presente,Municipal,272,272,760.62,67.65,32.35,292.0,777.12,76.37,23.63,-16.5,-8.72,8.72,-6.85,0.6938775510204082,88,0,0,53.34,Medio
2025,23,2308500,3,23185421,60008945.0,CE,Mombaça,823.340867,1,1,Alfabetizado,Presente,Municipal,458,458,818.52,99.13,0.87,415.0,811.68,93.49,6.51,6.84,5.64,-5.64,10.36,0.8623853211009175,99,1,1,92.3,Baixo
2025,15,1501105,3,15051556,60003493.0,PA,Bagre,755.9538906,1,1,Alfabetizado,Presente,Municipal,328,328,750.55,65.24,34.76,276.0,739.36,53.62,46.38,11.19,11.62,-11.62,18.84,0.43349753694581283,193,1,0,38.38,Alto
2025,25,2513604,3,25137112,60011065.0,PB,Santana dos Garrotes,783.5023512,1,1,Alfabetizado,Presente,Municipal,54,54,779.57,88.89,11.11,38.0,739.55,52.63,47.37,40.02,36.26,-36.26,42.11,0.5729166666666666,86,1,1,69.35,Medio
2024,35,3511607,3,35030517,60028726.0,SP,Cesário Lange,812.6888765,1,1,Alfabetizado,Presente,Municipal,264,264,739.77,51.14,48.86,,,,,,,,,0.5035460992907801,131,1,0,38.27,Alto
2024,35,3548906,3,35172858,60028061.0,SP,São Carlos,697.1267462,0,1,Não Alfabetizado,Presente,Municipal,978,978,742.06,51.02,48.98,,,,,,,,,0.5622641509433962,255,0,0,41.76,Alto
2025,21,2101707,3,21071364,60004915.0,MA,Barreirinhas,837.345724,1,1,Alfabetizado,Presente,Municipal,728,728,781.42,82.42,17.58,762.0,768.0,78.61,21.39,13.42,3.81,-3.81,-4.46,0.8348623853211009,99,1,1,82.94,Baixo
2025,35,3509502,3,35045594,60031363.0,SP,Campinas,745.42193,1,1,Alfabetizado,Presente,Municipal,1811,1811,734.69,49.64,50.36,1836.0,730.81,41.88,58.12,3.88,7.76,-7.76,-1.36,0.5210084033613446,109,1,0,36.58,Alto
2024,35,3523107,3,35285262,60027845.0,SP,Itaquaquecetuba,638.9257711,0,1,Não Alfabetizado,Presente,Municipal,4528,4528,748.91,57.44,42.56,,,,,,,,,0.4724770642201835,208,0,0,32.14,Alto
2024,43,4300604,3,43001151,60036376.0,RS,Alvorada,723.5542907,0,1,Não Alfabetizado,Presente,Municipal,1424,1424,725.83,36.66,63.34,,,,,,,,,0.43434343434343436,89,0,0,28.0,Alto
2025,33,3304557,3,33051964,60025905.0,RJ,Rio de Janeiro,743.0986418,1,1,Alfabetizado,Presente,Municipal,42955,42955,753.61,68.42,31.58,43340.0,747.64,64.25,35.75,5.97,4.17,-4.17,-0.89,0.6209677419354839,238,1,0,52.48,Medio
2024,51,5106109,3,51042606,60040403.0,MT,Nossa Senhora do Livramento,750.28,1,1,Alfabetizado,Presente,Municipal,103,103,780.0,82.52,17.48,,,,,,,,,0.34285714285714286,25,1,0,22.05,Alto
2024,23,2310407,3,23004614,60007831.0,CE,Paramoti,844.62,1,1,Alfabetizado,Presente,Municipal,69,69,813.79,94.2,5.8,,,,,,,,,0.9210526315789473,66,1,1,95.78,Baixo
2024,41,4106902,3,41013970,60033508.0,PR,Curitiba,782.61,1,1,Alfabetizado,Presente,Municipal,12923,12923,750.31,66.18,33.82,,,,,,,,,0.7428571428571429,95,1,1,63.71,Medio
2024,33,3304557,3,33115734,60024823.0,RJ,Rio de Janeiro,776.14,1,1,Alfabetizado,Presente,Municipal,43340,43340,747.64,64.25,35.75,,,,,,,,,0.7027027027027027,64,1,1,61.41,Medio
2025,52,5220454,3,52048869,60043042.0,GO,Senador Canedo,804.1107634,1,1,Alfabetizado,Presente,Municipal,1823,1823,757.31,68.68,31.32,1915.0,744.7,60.52,39.48,12.61,8.16,-8.16,-4.8,0.7196969696969697,122,1,1,59.98,Medio
2024,35,3539103,3,35278538,60026067.0,SP,Pirapora do Bom Jesus,815.354407,1,1,Alfabetizado,Presente,Municipal,260,260,728.04,41.15,58.85,,,,,,,,,0.5085714285714286,165,1,0,38.38,Alto
2024,13,1302603,2,13057316,60000876.0,AM,Manaus,808.24,1,1,Alfabetizado,Presente,Estadual,4459,4459,740.75,56.9,43.1,,,,,,,,,0.76875,150,1,1,67.37,Medio
2024,31,3170503,3,31158977,60020773.0,MG,Urucânia,769.62,1,1,Alfabetizado,Presente,Municipal,69,69,763.54,81.16,18.84,,,,,,,,,0.7522935779816514,99,1,1,66.01,Medio
2025,31,3124203,2,31175777,60020224.0,MG,Espera Feliz,814.1929601,1,1,Alfabetizado,Presente,Estadual,114,114,757.38,67.54,32.46,94.0,744.61,57.45,42.55,12.77,10.09,-10.09,21.28,0.6896551724137931,48,1,1,63.53,Medio
2025,21,2101707,3,21071436,60004916.0,MA,Barreirinhas,720.709469,0,1,Não Alfabetizado,Presente,Municipal,728,728,781.42,82.42,17.58,762.0,768.0,78.61,21.39,13.42,3.81,-3.81,-4.46,0.4,35,0,0,39.56,Alto
2024,35,3550308,3,35366901,60026815.0,SP,São Paulo,784.294626,1,1,Alfabetizado,Presente,Municipal,41751,41751,739.28,48.47,51.53,,,,,,,,,0.6885964912280702,218,1,0,54.74,Medio
2025,23,2304400,3,23296588,60009824.0,CE,Fortaleza,799.4360883,1,1,Alfabetizado,Presente,Municipal,16746,16746,768.32,73.24,26.76,17571.0,773.09,74.78,25.22,-4.77,-1.54,1.54,-4.7,0.63,90,1,1,56.92,Medio
2025,29,2925758,3,29120251,60018825.0,BA,Presidente Tancredo Neves,757.0730441,1,1,Alfabetizado,Presente,Municipal,294,294,730.19,47.28,52.72,,,,,,,,,0.5656565656565656,89,1,0,37.47,Alto
2024,52,5201405,3,52019286,60041829.0,GO,Aparecida de Goiânia,783.91,1,1,Alfabetizado,Presente,Municipal,5449,5449,755.34,69.35,30.65,,,,,,,,,0.85,130,1,1,76.35,Baixo
2025,35,3509007,3,35246281,60031766.0,SP,Caieiras,758.55414,1,1,Alfabetizado,Presente,Municipal,903,903,753.93,68.33,31.67,999.0,742.97,52.55,47.45,10.96,15.78,-15.78,-9.61,0.8174273858921162,231,1,1,68.67,Medio
2025,33,3304557,3,33044412,60025475.0,RJ,Rio de Janeiro,761.9552034,1,1,Alfabetizado,Presente,Municipal,42955,42955,753.61,68.42,31.58,43340.0,747.64,64.25,35.75,5.97,4.17,-4.17,-0.89,0.6216216216216216,175,1,0,53.07,Medio
2024,31,3139607,3,31168693,60018703.0,MG,Mantena,787.16,1,1,Alfabetizado,Presente,Municipal,222,222,756.22,71.62,28.38,,,,,,,,,0.875,62,1,1,86.38,Baixo
2025,35,3520905,3,35132353,60031456.0,SP,Ipaussu,721.03484,0,1,Não Alfabetizado,Presente,Municipal,144,144,752.48,68.75,31.25,140.0,748.05,55.0,45.0,4.43,13.75,-13.75,2.86,0.5467625899280576,129,0,0,45.83,Medio
2024,23,2309102,3,23042662,60007866.0,CE,Mulungu,765.86,1,1,Alfabetizado,Presente,Municipal,108,108,799.44,88.89,11.11,,,,,,,,,0.8650793650793651,116,1,1,85.2,Baixo
2025,35,3515707,3,35334533,60031598.0,SP,Ferraz de Vasconcelos,645.52274,0,1,Não Alfabetizado,Presente,Municipal,1908,1908,744.67,60.95,39.05,1961.0,759.14,65.22,34.78,-14.47,-4.27,4.27,-2.7,0.5538461538461539,120,0,0,45.66,Medio
2024,41,4106902,3,41053010,60033571.0,PR,Curitiba,764.88,1,1,Alfabetizado,Presente,Municipal,12923,12923,750.31,66.18,33.82,,,,,,,,,0.6888888888888889,170,1,1,56.14,Medio
2024,31,3112307,3,31127611,60022037.0,MG,Capelinha,713.29,0,1,Não Alfabetizado,Presente,Municipal,199,199,766.66,80.9,19.1,,,,,,,,,0.7471264367816092,251,0,1,64.91,Medio
2024,35,3534401,3,35304336,60029180.0,SP,Osasco,771.6064137,1,1,Alfabetizado,Presente,Municipal,6664,6664,737.43,49.19,50.81,,,,,,,,,0.46634615384615385,198,1,0,30.68,Alto
2025,35,3503307,3,35144748,60028584.0,SP,Araras,824.37923,1,1,Alfabetizado,Presente,Municipal,617,617,744.54,60.62,39.38,681.0,751.44,59.62,40.38,-6.9,1.0,-1.0,-9.4,0.6415094339622641,43,1,0,48.8,Medio
2024,35,3534302,3,35179483,60030108.0,SP,Orlândia,746.0690517,1,1,Alfabetizado,Presente,Municipal,293,293,747.46,57.0,43.0,,,,,,,,,0.5083333333333333,110,1,0,35.59,Alto
2024,15,1505106,3,15052332,60003557.0,PA,Óbidos,729.9,0,1,Não Alfabetizado,Presente,Municipal,538,538,741.69,55.02,44.98,,,,,,,,,0.4,95,0,0,25.7,Alto
2024,43,4310801,3,43042858,60037460.0,RS,Ivoti,789.0484314,1,1,Alfabetizado,Presente,Municipal,226,226,744.19,57.08,42.92,,,,,,,,,0.7052631578947368,85,1,1,57.35,Medio
2024,29,2927408,3,29219463,60017641.0,BA,Salvador,753.41,1,1,Alfabetizado,Presente,Municipal,12112,12112,725.82,36.75,63.25,,,,,,,,,0.4632352941176471,126,1,0,28.61,Alto
2025,23,2306108,3,23101758,60009870.0,CE,Irauçuba,813.7077966,1,1,Alfabetizado,Presente,Municipal,349,349,823.34,96.56,3.44,340.0,817.47,96.76,3.24,5.87,-0.2,0.2,2.65,0.8674698795180723,73,1,1,94.42,Baixo
